Date,Site,Sub site,Compound Site,Sample Type,Year,Month,Day,Site Type,SRP ,NH4 ,TDN ,TDP ,Seston P,TP
6/18/12,CB,L,CB-L,sw,2012,6,18,m,0.425,1.289,23.15,0.300254131,,
7/17/12,CB,L,CB-L,sw,2012,7,17,m,0.218,6.43,16.667,0.190483804,,
8/20/12,CB,L,CB-L,sw,2012,8,20,m,0.217,6.54,22.896,0.23568335,,
9/30/12,CB,L,CB-L,sw,2012,9,30,m,0.201,7.3,28.804,0.125913023,,
11/11/12,CB,L,CB-L,sw,2012,11,11,m,,,,,,
4/4/13,CB,L,CB-L,sw,2013,4,4,m,0.201,0.936,21.893,0.258283124,,
5/15/13,CB,L,CB-L,sw,2013,5,15,m,0,3.271,21.667,0.213083577,,
6/11/13,CB,L,CB-L,sw,2013,6,11,m,0.201,1.177,29.078,0.345453678,,
7/1/13,CB,L,CB-L,sw,2013,7,1,m,0.5446,0.376,23.321,0.519794786,,
8/5/13,CB,L,CB-L,sw,2013,8,5,m,0.5375,1.043,32.204,0.190483804,,
10/16/13,CB,L,CB-L,sw,2013,10,16,m,0.201,,,0.190483804,,
6/18/12,CB,M,CB-M,sw,2012,6,18,m,0.429,1.411,28.679,0.368053451,,
7/17/12,CB,M,CB-M,sw,2012,7,17,m,,,,,,
8/20/12,CB,M,CB-M,sw,2012,8,20,m,,,,,,
9/30/12,CB,M,CB-M,sw,2012,9,30,m,0.417,,,,,
11/11/12,CB,M,CB-M,sw,2012,11,11,m,0.201,7.766,32.436,0.258283124,,
4/4/13,CB,M,CB-M,sw,2013,4,4,m,0.201,2.31,20.453,0.410024459,,
5/15/13,CB,M,CB-M,sw,2013,5,15,m,0.201,3.853,37.92,0.387424685,,
6/11/13,CB,M,CB-M,sw,2013,6,11,m,0.201,1.143,31.882,0.410024459,,
7/1/13,CB,M,CB-M,sw,2013,7,1,m,0.201,2.749,32.291,0.410024459,,
8/5/13,CB,M,CB-M,sw,2013,8,5,m,0.201,0.376,12.653,0.410024459,,
10/16/13,CB,M,CB-M,sw,2013,10,16,m,0.201,2.029,28.246,0.190483804,,
6/18/12,CB,U,CB-U,sw,2012,6,18,m,0.927,1.459,35.508,0.629565114,,
7/17/12,CB,U,CB-U,sw,2012,7,17,m,,,,,,
8/20/12,CB,U,CB-U,sw,2012,8,20,m,,,,,,
9/30/12,CB,U,CB-U,sw,2012,9,30,m,0.479,6.56,45.556,0.674764661,,
11/11/12,CB,U,CB-U,sw,2012,11,11,m,0.219,7.13,29.753,0.455224005,,
4/4/13,CB,U,CB-U,sw,2013,4,4,m,0.5006,0.928,17.987,0.477823779,,
5/15/13,CB,U,CB-U,sw,2013,5,15,m,0.2425,3.631,42.292,0.497195013,,
6/11/13,CB,U,CB-U,sw,2013,6,11,m,0.2653,1.417,33.361,0.849105769,,
7/1/13,CB,U,CB-U,sw,2013,7,1,m,0.3479,6.034,39.159,0.716735668,,
8/5/13,CB,U,CB-U,sw,2013,8,5,m,0.3437,0.376,21.372,0.387424685,,
10/16/13,CB,U,CB-U,sw,2013,10,16,m,0.201,2.313,28.915,0.171112569,,
6/18/12,DB,L,DB-L,sw,2012,6,18,u,0.87,1.231,25.822,0.739335441,,
7/17/12,DB,L,DB-L,sw,2012,7,17,u,0.606,14.8,43.572,0.368053451,,
8/20/12,DB,L,DB-L,sw,2012,8,20,u,,,,,,
9/30/12,DB,L,DB-L,sw,2012,9,30,u,,,,,,
11/11/12,DB,L,DB-L,sw,2012,11,11,u,,,,,,
4/4/13,DB,L,DB-L,sw,2013,4,4,m,,,,0.629565114,,
5/15/13,DB,L,DB-L,sw,2013,5,15,u,0.6675,6.949,37.807,,,
6/11/13,DB,L,DB-L,sw,2013,6,11,u,0.8837,1.594,27.651,0.826505996,,
7/1/13,DB,L,DB-L,sw,2013,7,1,u,1.8943,0.503,22.99,1.023446877,,
8/5/13,DB,L,DB-L,sw,2013,8,5,u,1.8697,3.262,19.33,0.322853905,,
10/16/13,DB,L,DB-L,sw,2013,10,16,u,0.7286,3.17,380.5,0.410024459,,
6/18/12,DB,M,DB-M,sw,2012,6,18,u,,,,,,
7/17/12,DB,M,DB-M,sw,2012,7,17,u,,,,,,
8/20/12,DB,M,DB-M,sw,2012,8,20,u,,,,,,
9/30/12,DB,M,DB-M,sw,2012,9,30,u,,,,,,
11/11/12,DB,M,DB-M,sw,2012,11,11,u,,,,,,
4/4/13,DB,M,DB-M,sw,2013,4,4,u,0.2034,8.589,48.561,1.023446877,,
5/15/13,DB,M,DB-M,sw,2013,5,15,u,,,,,,
6/11/13,DB,M,DB-M,sw,2013,6,11,u,1.026,0.888,30.909,1.220387759,,
7/1/13,DB,M,DB-M,sw,2013,7,1,u,1.9565,0.399,30.824,1.569069976,,
8/5/13,DB,M,DB-M,sw,2013,8,5,u,1.904,3.939,31.334,0.190483804,,
10/16/13,DB,M,DB-M,sw,2013,10,16,u,,,,,,
6/18/12,DB,U,DB-U,sw,2012,6,18,u,,,,,,
